編號,案類,發生(現)日期,發生時段,發生(現)地點,lat,long
172,住宅竊盜,1040410,07~09,台北市北投區吉利里23鄰吉利街320巷1弄1~30號,25.1177584,121.51162399999998
173,住宅竊盜,1040410,16~18,台北市萬華區忠德里4鄰寶興街91~120號,25.0258864,121.49454049999997
174,住宅竊盜,1040410,19~21,台北市松山區民生東路五段181~210號,25.0587297,121.56304909999994
175,住宅竊盜,1040411,10~12,台北市內湖區內湖路1段359巷1 ~ 30號,25.0864375,121.5573647
176,住宅竊盜,1040413,13~15,台北市萬華區貴陽街二段151~180號,25.0402787,121.50093760000004
177,住宅竊盜,1040415,07~09,台北市松山區民生東路四段55巷1~30號,25.058151,121.55059000000006
178,住宅竊盜,1040415,16~18,台北市萬華區西園路二段261巷31~60號,25.031926,121.49766899999997
179,住宅竊盜,1040415,22~24,台北市萬華區富民里4鄰貴陽街二段151~180號,25.0401248,121.50077320000003
180,住宅竊盜,1040416,04~06,台北市文山區萬和里1鄰溪州街137巷61~90號,25.000134,121.5356137
181,住宅竊盜,1040416,07~09,台北市士林區三玉里忠誠路二段41巷1~30號,25.1085999,121.5305816
182,住宅竊盜,1040416,10~12,台北市中山區中山北路二段93巷1~30號,25.0524875,121.52284199999997
183,住宅竊盜,1040416,13~15,台北市內湖區康樂街61巷12弄1~30號,25.0690068,121.61919490000002
184,住宅竊盜,1040416,13~15,台北市北投區永欣里石牌路二段181~210號,25.1220264,121.52204499999993
185,住宅竊盜,1040416,19~21,台北市南港區舊莊里舊莊街一段145巷6弄1~30號,25.040309,121.62068799999997
186,住宅竊盜,1040417,16~18,台北市中山區建國北路三段22巷1~30號,25.0639137,121.53563229999997
187,住宅竊盜,1040417,16~18,台北市北投區奇岩里奇岩路31~60號,25.1306595,121.50578870000004
188,住宅竊盜,1040419,13~15,台北市北投區榮華里榮華一路15巷1~30號,25.1115988,121.52394909999998
189,住宅竊盜,1040420,16~18,台北市內湖區瑞光里瑞光路235巷1~30號,25.0691106,121.58425139999997
190,住宅竊盜,1040420,22~24,台北市中山區遼寧街241~270號,25.0567679,121.54215690000001
191,住宅竊盜,1040421,19~21,台北市文山區指南里15鄰指南路三段26巷1~30號,24.983449,121.57980700000007
192,住宅竊盜,1040422,19~21,台北市萬華區萬大路493巷12弄1~30號,25.0197989,121.49831599999993
193,住宅竊盜,1040423,04~06,台北市內湖區康樂街136巷15弄1~30號,25.072009,121.61868000000004
194,住宅竊盜,1040423,13~15,台北市內湖區樂康里康樂街136巷15弄1~30號,25.0726931,121.6184571
195,住宅竊盜,1040423,19~21,台北市士林區仁勇里16鄰大東路121~150號,25.0915762,121.52552919999994
196,住宅竊盜,1040423,19~21,台北市萬華區環河南路二段250巷3弄1~30號,25.0331843,121.49138219999998
197,住宅竊盜,1040424,10~12,台北市內湖區樂康里康樂街72巷17弄121~150號,25.0725774,121.61922830000003
198,住宅竊盜,1040425,04~06,台北市文山區興業里23鄰辛亥路五段124巷1~30號,24.9968419,121.551739
199,住宅竊盜,1040425,22~24,台北市大同區揚雅里民族西路121~150號,25.0684733,121.51571790000003
200,住宅竊盜,1040426,04~06,台北市北投區智仁里21鄰中和街525巷10弄1~30號,25.144667,121.49336310000001
201,住宅竊盜,1040427,07~09,台北市中山區大直街62巷5弄1~30號,25.0834195,121.54505549999999
202,住宅竊盜,1040427,07~09,台北市內湖區湖興里20鄰成功路二段250巷31~60號,25.066291,121.58878200000004
203,住宅竊盜,1040427,13~15,台北市中山區大直街62巷5弄1~30號,25.0834195,121.54505549999999
204,住宅竊盜,1040427,16~18,台北市萬華區德昌街132巷1~30號,25.0244138,121.4964377
205,住宅竊盜,1040427,22~24,台北市內湖區港都里港華街85巷1~30號,25.0823158,121.57690019999995
206,住宅竊盜,1040429,13~15,台北市中山區敬業三路162巷121~150號,25.0817744,121.55580250000003
207,住宅竊盜,1040429,13~15,台北市中山區敬業三路162巷31~60號,25.079056,121.55796199999997
208,住宅竊盜,1040430,07~09,台北市內湖區麗山街328巷1~30號,25.0829643,121.57323889999998
209,住宅竊盜,1040430,19~21,台北市內湖區樂康里康樂街136巷18弄31~60號,25.0709813,121.61811799999998
210,住宅竊盜,1040501,16~18,台北市中山區吉林路379巷1~30號,25.0653175,121.53068080000003
211,住宅竊盜,1040501,22~24,台北市信義區忠孝東路,25.0412083,121.56100909999998
212,住宅竊盜,1040503,19~21,台北市松山區寶清街104巷1~30號,25.0496729,121.56912469999997
213,住宅竊盜,1040504,10~12,台北市中山區長安東路一段31~60號,25.0493739,121.52399590000005
214,住宅竊盜,1040504,19~21,台北市內湖區西湖里內湖路一段323巷1~30號,25.0842771,121.56786239999997
215,住宅竊盜,1040505,16~18,台北市士林區菁山里永公路511~540號,25.1381811,121.5671221
216,住宅竊盜,1040506,19~21,台北市文山區試院里29鄰木柵路一段1~30號,24.9867132,121.5465451
217,住宅竊盜,1040507,19~21,台北市信義區大道里大道路7巷1弄1~30號,25.0428399,121.58166400000005
218,住宅竊盜,1040508,04~06,台北市大同區斯文里大龍街89巷1~30號,25.0674245,121.5159989
219,住宅竊盜,1040508,07~09,台北市大安區車層里忠孝東路四段216巷19弄1~30號,25.0404607,121.55308650000006
