編號,案類,發生(現)日期,發生時段,發生(現)地點,lat,long
202,自行車竊盜,1040715,16~18,台北市大同區國慶里民族西路252(大同公園）巷,25.0679293,121.5122563
203,自行車竊盜,1040716,16~18,台北市文山區興泰里15鄰辛亥路四段130巷,25.0047384,121.5567073
204,自行車竊盜,1040718,16~18,台北市南港區中南里忠孝東路七段361-390號,25.051808,121.6062069
205,自行車竊盜,1040720,22~24,台北市中山區建國南路一段1-30號,25.0453869,121.536263
206,自行車竊盜,1040722,10~12,台北市北投區永明里立農街二段331-360號,25.1189903,121.5179332
207,自行車竊盜,1040726,13~15,台北市中正區新營里羅斯福路一段1-30號,25.0343668,121.5173278
208,自行車竊盜,1040727,07~09,台北市南港區成福里成福路241-270號,25.0394055,121.5897889
209,自行車竊盜,1040727,19~21,台北市大安區古莊里浦城街1-30號,25.0246619,121.528002
210,自行車竊盜,1040728,16~18,台北市士林區義信里中山北路五段61~90號劍潭捷運站1號出口,25.084873,121.525077
211,自行車竊盜,1040728,16~18,台北市士林區義信里中山北路五段61~90號劍潭捷運站1號出口,25.084873,121.525077
212,自行車竊盜,1040801,13~15,台北市文山區興福里13鄰興隆路二段22巷8弄1-30號,24.998071,121.545739
213,自行車竊盜,1040802,10~12,台北市中山區民族東路181-210號,25.0681243,121.5309472
214,自行車竊盜,1040803,01~03,台北市信義區長春里虎林街82巷1-30號,25.0432816,121.5765359
215,自行車竊盜,1040803,13~15,台北市文山區景華里三福街1-30號,24.9971944,121.5424725
216,自行車竊盜,1040804,07~09,台北市北投區榮光里西安街一段石牌捷運站2號出口附近,25.114523,121.515559
217,自行車竊盜,1040805,19~21,台北市內湖區內湖路一段387巷3弄1-30號,25.0822416,121.5703474
218,自行車竊盜,1040806,01~03,台北市信義區景勤里吳興街156巷31-60號,25.0283905,121.5605332
219,自行車竊盜,1040806,19~21,台北市萬華區民和街31-60號,25.0259356,121.4988901
220,自行車竊盜,1040807,19~21,台北市北投區大同里光明路1-30號,25.131841,121.498633
221,自行車竊盜,1040809,19~21,台北市士林區福德里福德路1-30號,25.0917765,121.5241428
222,自行車竊盜,1040810,13~15,台北市南港區三重里三重路1-30號,25.0561306,121.6141507
223,自行車竊盜,1040810,13~15,台北市北投區大同里光明路1 - 30號,25.131841,121.498633
224,自行車竊盜,1040810,19~21,台北市北投區石牌里明德路91-120號,25.1090387,121.5188432
225,自行車竊盜,1040814,10~12,台北市信義區永春里中坡北路15巷口,25.0446972,121.5811227
226,自行車竊盜,1040814,22~24,台北市南港區三重里南港展覽館捷運站1-30號出口,25.0554052,121.6178521
227,自行車竊盜,1040815,22~24,台北市士林區文林路91-120號,25.0877799,121.5259623
228,自行車竊盜,1040816,01~03,台北市信義區興隆里忠孝東路四段國館捷運出口,25.0413591,121.5574248
229,自行車竊盜,1040816,10~12,台北市大安區建倫里忠孝東路四段121-150號,25.041251,121.549805
230,自行車竊盜,1040817,19~21,台北市南港區新光里忠孝東路六段451-480號,25.0504966,121.5950607
231,自行車竊盜,1040817,19~21,台北市士林區天玉里中山北路七段51巷1-30號,25.1202401,121.5305795
232,自行車竊盜,1040819,13~15,台北市大安區信義路與敦化路口,25.0329786,121.5521903
233,自行車竊盜,1040820,01~03,台北市中正區黎明里館前路1-30號,25.044673,121.5148502
234,自行車竊盜,1040821,07~09,台北市大同區光能里赤峰街41巷1-30號,25.0549182,121.5200304
235,自行車竊盜,1040821,07~09,台北市大同區光能里赤峰街41巷1-30號,25.0549182,121.5200304
236,自行車竊盜,1040821,13~15,台北市大安區義安里信義路四段181-210號,25.0330452,121.5518772
237,自行車竊盜,1040823,10~12,台北市中正區黎明里忠孝西路一段31-60號,25.0460552,121.5187502
238,自行車竊盜,1040824,22~24,台北市信義區興雅里忠孝東路五段市府捷運站YOUBIKE自行車停放區,25.0378547,121.5641875
239,自行車竊盜,1040826,19~21,台北市大安區芳和里5鄰和平東路三段151-180號,25.0239501,121.5528562
240,自行車竊盜,1040828,16~18,台北市內湖區康樂街76巷1-30號,25.0699338,121.6187723
241,自行車竊盜,1040830,07~09,台北市士林區福德里中正路435巷1-30號,25.096145,121.5286439
242,自行車竊盜,1040830,16~18,台北市北投區石牌里明德路91-120號,25.1090387,121.5188432
243,自行車竊盜,1040830,16~18,台北市大安區住安里復興南路二段1-30號,25.0267857,121.5437124
244,自行車竊盜,1040831,10~12,台北市南港區合成里忠孝東路6段403巷口,25.0504324,121.592597
245,自行車竊盜,1040901,16~18,台北市士林區承德里基河路1-30號劍潭捷運站2號出口,25.084873,121.525077
